"","TargetName","Scaffold","MolNum"
"1","VGFR2_HUMAN","Sca100019",3
"2","EPHB4_HUMAN","Sca100019",3
"3","TIE2_HUMAN","Sca100019",2
"4","IGF1R_HUMAN","Sca100023",14
"5","ACK1_HUMAN","Sca100023",10
"6","ACK1_HUMAN","Sca100026",18
"7","BTK_HUMAN","Sca10014",13
"8","LCK_HUMAN","Sca10014",3
"9","CRFR1_RAT","Sca10016",1
"10","CRFR1_HUMAN","Sca10016",9
"11","GRM5_HUMAN","Sca10016",1
"12","GLP1R_HUMAN","Sca10016",1
"13","BTK_HUMAN","Sca10018",17
"14","LCK_HUMAN","Sca10018",29
"15","PDE7A_HUMAN","Sca10018",1
"16","PDE2A_HUMAN","Sca10018",30
"17","PDE10_HUMAN","Sca10018",37
"18","PDE2A_HUMAN","Sca10019",1
"19","PDE11_HUMAN","Sca10019",1
"20","PDE10_HUMAN","Sca10019",47
"21","PDE5A_HUMAN","Sca10019",1
"22","DPP8_HUMAN","Sca100199",2
"23","DPP9_HUMAN","Sca100199",1
"24","DPP4_RAT","Sca100199",7
"25","DPP4_HUMAN","Sca100199",9
"26","DPP2_HUMAN","Sca100199",2
"27","PAK4_HUMAN","Sca100275",1
"28","GCR_HUMAN","Sca100275",3
"29","NPY5R_HUMAN","Sca100301",6
"30","NPY4R_HUMAN","Sca100301",5
"31","NPY1R_HUMAN","Sca100301",5
"32","NPY2R_HUMAN","Sca100301",8
"33","NPY5R_HUMAN","Sca100313",1
"34","NPY2R_HUMAN","Sca100313",1
"35","PE2R1_HUMAN","Sca100323",1
"36","OX1R_HUMAN","Sca100323",3
"37","OX2R_HUMAN","Sca100323",3
"38","PPARD_MOUSE","Sca100351",2
"39","PPARD_HUMAN","Sca100351",2
"40","PPARA_MOUSE","Sca100351",1
"41","PPARA_HUMAN","Sca100351",2
"42","5HT2B_HUMAN","Sca100353",1
"43","5HT7R_HUMAN","Sca100353",1
"44","5HT6R_HUMAN","Sca100353",15
"45","DRD2_HUMAN","Sca100353",1
"46","P2RY4_HUMAN","Sca100384",1
"47","P2RY6_HUMAN","Sca100384",1
"48","DRD3_HUMAN","Sca100500",6
"49","DRD4_HUMAN","Sca100500",2
"50","DRD1_RAT","Sca100500",2
"51","DRD1_HUMAN","Sca100500",11
"52","DRD2_HUMAN","Sca100500",9
"53","DRD5_HUMAN","Sca100500",12
"54","CMA1_HUMAN","Sca100505",48
"55","CCR4_HUMAN","Sca100528",13
"56","GRM5_RAT","Sca100553",2
"57","GRM1_HUMAN","Sca100553",13
"58","F13A_HUMAN","Sca100553",1
"59","NRAM2_HUMAN","Sca100668",16
"60","GP119_HUMAN","Sca100692",1
"61","CATK_HUMAN","Sca100692",3
"62","ADA2A_HUMAN","Sca10082",1
"63","5HT1A_HUMAN","Sca10082",7
"64","DRD3_RAT","Sca10082",1
"65","DRD3_HUMAN","Sca10082",1
"66","DRD2_HUMAN","Sca10082",1
"67","CAH9_HUMAN","Sca10094",1
"68","CAH2_HUMAN","Sca10094",1
"69","CAH1_HUMAN","Sca10094",1
"70","CAH12_HUMAN","Sca10094",1
"71","CNR2_HUMAN","Sca10094",2
"72","CNR1_HUMAN","Sca10094",2
"73","MDR1_HUMAN","Sca10096",1
"74","CP19A_RAT","Sca10096",2
"75","CP19A_HUMAN","Sca10096",2
"76","ESR1_HUMAN","Sca10104",1
"77","FABPH_HUMAN","Sca10104",4
"78","THRB_HUMAN","Sca101043",2
"79","DPP4_HUMAN","Sca101043",1
"80","S1PR5_HUMAN","Sca101106",1
"81","S1PR1_RAT","Sca101106",1
"82","S1PR1_MOUSE","Sca101106",1
"83","S1PR1_HUMAN","Sca101106",1
"84","S1PR4_HUMAN","Sca101106",1
"85","OPRM_RAT","Sca101123",3
"86","OPRM_HUMAN","Sca101123",6
"87","5HT2A_HUMAN","Sca101125",1
"88","5HT2C_HUMAN","Sca101125",1
"89","5HT6R_HUMAN","Sca101125",1
"90","DRD3_HUMAN","Sca101125",1
"91","DRD1_HUMAN","Sca101125",1
"92","DRD2_HUMAN","Sca101125",1
"93","5HT2A_HUMAN","Sca101142",1
"94","5HT2C_HUMAN","Sca101142",1
"95","DRD2_HUMAN","Sca101142",1
"96","FA10_RAT","Sca101199",1
"97","FA10_HUMAN","Sca101199",31
"98","FABP4_HUMAN","Sca101207",1
"99","FABP4_RAT","Sca101207",1
"100","SC6A4_HUMAN","Sca101215",1
"101","SC6A2_HUMAN","Sca101215",1
"102","CP2D6_HUMAN","Sca101215",1
"103","CAH7_HUMAN","Sca10122",1
"104","CAH2_HUMAN","Sca10122",1
"105","CAH1_HUMAN","Sca10122",1
"106","IGF1R_HUMAN","Sca101363",23
"107","LCK_MOUSE","Sca101495",4
"108","IKKB_HUMAN","Sca101513",30
"109","SSR2_HUMAN","Sca101579",1
"110","SSR3_HUMAN","Sca101579",7
"111","SSR1_HUMAN","Sca101579",1
"112","OPRM_HUMAN","Sca101579",1
"113","OPRX_HUMAN","Sca101579",1
"114","PDE10_HUMAN","Sca1016",20
"115","PDE5A_HUMAN","Sca1016",1
"116","C11B2_HUMAN","Sca10171",1
"117","SEPR_HUMAN","Sca10171",1
"118","DPP4_HUMAN","Sca10171",2
"119","DPP2_HUMAN","Sca10171",1
"120","HYES_HUMAN","Sca10171",3
"121","CATK_HUMAN","Sca10171",1
"122","VGFR1_HUMAN","Sca101893",2
"123","TIE2_HUMAN","Sca101893",3
"124","RIPK1_HUMAN","Sca101893",1
"125","MC4R_MOUSE","Sca101921",1
"126","MC4R_HUMAN","Sca101921",52
"127","HRH3_RAT","Sca10193",2
"128","HRH3_HUMAN","Sca10193",3
"129","ACM1_RAT","Sca10193",2
"130","S1PR1_HUMAN","Sca10193",1
"131","NTRK1_HUMAN","Sca10193",8
"132","MP2K1_HUMAN","Sca10193",5
"133","MCHR1_HUMAN","Sca102058",33
"134","HRH3_HUMAN","Sca102098",1
"135","DPP4_HUMAN","Sca102098",1
"136","CATK_HUMAN","Sca102098",1
"137","HRH4_HUMAN","Sca1021",2
"138","KSYK_HUMAN","Sca1021",6
"139","NR1I2_RAT","Sca1021",1
"140","DPP4_HUMAN","Sca102102",2
"141","MCHR1_RAT","Sca102102",5
"142","DPP8_HUMAN","Sca102109",1
"143","DPP4_HUMAN","Sca102109",2
"144","CAH9_HUMAN","Sca102210",1
"145","THRB_HUMAN","Sca102260",1
"146","GRM5_RAT","Sca102260",1
"147","CHK1_HUMAN","Sca102260",1
"148","DPP4_HUMAN","Sca102260",1
"149","ACM2_RAT","Sca102293",5
"150","ACM3_RAT","Sca102293",9
"151","SC6A4_HUMAN","Sca102386",5
"152","SC6A3_HUMAN","Sca102386",12
"153","SC6A2_HUMAN","Sca102386",15
"154","5HT2A_RAT","Sca102386",2
"155","ADA1A_HUMAN","Sca10239",4
"156","ADA1B_HUMAN","Sca10239",2
"157","ADA1D_HUMAN","Sca10239",1
"158","MCHR1_RAT","Sca10239",12
