"","Target","Molecule","ScaID"
"1","GRP3","KPFIRSWIEJGVNZ-DDKMFYJYSA-N","Sca50283"
"2","SERPH","UKJVTPVEQLXYPI-WJLJJOJOSA-N","Sca156318"
"3","SERPH","WPPHUOBXUDNCMS-FLILSOCVSA-N","Sca220725"
"4","SERPH","JGQRJSNHMPUKAI-MHZWONBLSA-N","Sca156307"
"5","SERPH","JGQRJSNHMPUKAI-MHZWONBLSA-N","Sca156356"
"6","SERPH","UZKBDYAMYHNHFF-XQKNLMOFSA-N","Sca156327"
"7","SERPH","UZKBDYAMYHNHFF-XQKNLMOFSA-N","Sca156335"
"8","SERPH","KAXYPGFLTITRQB-ZCYNLIDDSA-N","Sca156318"
"9","NFKB1","DAPAQENNNINUPW-IDAMAFBJSA-N","Sca96067"
"10","NFKB1","DAPAQENNNINUPW-IDAMAFBJSA-N","Sca96071"
"11","IKBA","CELCJNIQYYQLHB-UHFFFAOYSA-N","Sca108614"
"12","IKBA","KYPLTYNYSYVGGA-UHFFFAOYSA-N","Sca108614"
"13","CD2","BGEODEFTZLGQFL-GITVPZJDSA-N","Sca206853"
"14","CD2","ALUCMQJOGUZADG-ZKRJLDCNSA-N","Sca206849"
"15","CD22","RHNNBOLUOGPAJV-CYOLFESQSA-N","Sca124090"
"16","CD22","SUDAYRLDSUECQH-GFYPMFDPSA-N","Sca124101"
"17","CD22","QATDWUKLFZZIKB-GFYPMFDPSA-N","Sca124101"
"18","CD22","YIBLAKJMSSTZDU-GFYPMFDPSA-N","Sca124101"
"19","CD22","OTRZIYCZOYEUAW-ZSGSMGMISA-N","Sca124093"
"20","CD22","BDPYJKQBNAKWGP-KBOYKCPCSA-N","Sca124096"
"21","CD22","VGZLWCUFGWIUKE-KXOIUKADSA-N","Sca143031"
"22","CD22","OYVPUTMZTUBFKJ-ARQUEJKBSA-N","Sca124094"
"23","LANC2","LTFJVAGATJTPPP-UQIVLYAPSA-N","Sca4612"
"24","APEL","SVWSKJCJNAIKNH-MJZUAXFLSA-N","Sca105872"
"25","APEL","SEZVZMIKECAWEG-JXWNBHMPSA-N","Sca239224"
"26","APEL","ZTLIYGFATXKANY-NARBMPSYSA-N","Sca239231"
