"Target","Molecule"
"ACACB","OPRXXWUPPCSXBS-ZDUSSCGKSA-N"
"ACACB","XIFGKQUBRHFWNX-KOMQPUFPSA-N"
"PUR2","ZUQBAQVRAURMCL-DOMZBBRYSA-N"
"MDM2","LASZTPUNWIOFCD-OJLCMILUSA-N"
"MDM2","MPFKILSCWXAHRA-GCMXZSHTSA-N"
"PUR2","WBXPDJSOTKVWSJ-ZDUSSCGKSA-N"
"PUR2","UNSSSMUKJOLMJV-LBPRGKRZSA-N"
"ACACB","NXRWALCUKJVWST-UHFFFAOYSA-N"
"ACACB","ZRAMOXHZLIIJGI-INIZCTEOSA-N"
"MDM2","CLRSLRWKONPSRQ-IIPSPAQQSA-N"
"NEDD4","JKGGFVABTBFVOC-UHFFFAOYSA-N"
"ACACB","ZOGULHIZBGRKQX-KRWDZBQOSA-N"
"MDM2","RLVHIMZOZMLGIX-PQQNNWGCSA-N"
"ACACB","AAPALKSRCHGDKE-AWEZNQCLSA-N"
"CHLE","ZWQWXPDQHDYQPH-XRSDMRJBSA-N"
"ACES","ZWQWXPDQHDYQPH-XRSDMRJBSA-N"
"CHLE","AQUBWCPEKBRMKW-UHFFFAOYSA-N"
"ACES","AQUBWCPEKBRMKW-UHFFFAOYSA-N"
"TRY1","DRUZWKULMZFMLK-UHFFFAOYSA-N"
"TRY1","WGEGXJPYFSZDMU-IZLXSDGUSA-N"
"LYAG","XUFXOAAUWZOOIT-SXARVLRPSA-N"
"MMP13","XFKRGURHEZYQDK-UHFFFAOYSA-N"
"MMP13","LMIHEFSBOIGKDH-UHFFFAOYSA-N"
"MMP13","BDONYXHHXNTUSW-UHFFFAOYSA-N"
"MMP13","SYYRIPAKWJBIOW-UHFFFAOYSA-N"
"CHLE","NUAYGDKUFSIFPR-FCGDIQPGSA-N"
"PPAC","STHKIFKPJCKJAJ-UHFFFAOYSA-N"
"PDE9A","SEYCIBHCEGUQNB-LSDHHAIUSA-N"
"ACES","PAPNIDWABUXIRG-UHFFFAOYSA-N"
"MMP13","AAVVXYJNWGIBPT-UHFFFAOYSA-N"
"MMP13","VNIVLVJMMLQGNQ-UHFFFAOYSA-N"
"TRY1","ZLUOAFAJSUPHOG-UHFFFAOYSA-N"
"MMP13","ZPFSKFCSVXPMBD-JHOVWCEZSA-N"
"MMP13","YJNWDJIIFRGLRO-ZCLHRBOTSA-N"
"BACE2","JIBQVJZSWQNHLX-QHCPKHFHSA-N"
"MMP13","WQCXDERWRJMJQA-RUZDIDTESA-N"
"AMYP","FZLCJZILHGFQLM-PISLJJGOSA-N"
"CES1D","WPXKQCIXDYJFEN-FOCLMDBBSA-N"
"TRY1","JYGJKZKLNWLLRD-UPJWGTAASA-N"
"TRY1","GJEPQTOOGGNJLG-UZUQRXQVSA-O"
"TRY1","QAILDCHYMLYEOM-VGOFRKELSA-O"
"ACES","QIZOOAIDPINZAA-UHFFFAOYSA-N"
"TRY1","FCUZICMQZZVVKV-UHFFFAOYSA-N"
"MMP13","WHTRIFCXCJYQKX-SSEXGKCCSA-N"
"ACES","KNAXWOBOCVVMST-UHFFFAOYSA-N"
"MMP13","QCRPOQONCVCBFI-UHFFFAOYSA-N"
"MMP13","UIGGXLFLAQCMAY-UHFFFAOYSA-N"
"MMP13","BNPWNBBKUMLEJM-UHFFFAOYSA-N"
"MMP13","MTRATHZFTCSGDT-UHFFFAOYSA-N"
"MMP13","MMCUCOOPEAHRPL-UHFFFAOYSA-N"
"MMP13","LIQFLIXIOKMDTJ-UHFFFAOYSA-N"
"MMP13","FVPQYGSYGOKFLW-UHFFFAOYSA-N"
"MMP13","AWLKOGZBGNQOBA-UHFFFAOYSA-N"
"MMP13","JATUSZYMCBLDQS-UHFFFAOYSA-N"
"MMP13","TUJKFLFRSWBCFZ-QHCPKHFHSA-N"
"ACES","UWKQSNNFCGGAFS-XIFFEERXSA-N"
"PDE9A","RCKCFOKBILAFJF-UHFFFAOYSA-N"
"CHLE","BEEAUEOMGZISAI-UHFFFAOYSA-N"
"ACES","BEEAUEOMGZISAI-UHFFFAOYSA-N"
"CHLE","WKDFOVDLOVYRAJ-JDXGNMNLSA-N"
"ACES","WKDFOVDLOVYRAJ-JDXGNMNLSA-N"
"BACE2","MRXBCEQZNKUUIP-DEOSSOPVSA-N"
"PDE9A","RHYNVXDLIQWYAD-FOIQADDNSA-N"
"MMP13","LFQCQDFQXKNBRD-OCOZRVBESA-N"
"MMP13","WPGRSZLFNFYSPR-UHFFFAOYSA-N"
"TRY1","WMLLWXCYJMFXSU-LTJSBYPUSA-N"
"BACE2","WQDXYYJHDFSNIX-KZULUSFZSA-N"
"CHLE","VRPRFMSKPPZJFK-UHFFFAOYSA-N"
"ACES","VRPRFMSKPPZJFK-UHFFFAOYSA-N"
"BACE2","DVMUZHLUMHPCGZ-QGZVFWFLSA-N"
"MMP13","ZXVWNUSVQOQAIY-ZEQRLZLVSA-N"
"LIPE","OZOLYNAPOLFWJZ-AWEZNQCLSA-N"
"MMP13","QFTWPDUNHCKGKX-UHFFFAOYSA-N"
"MMP13","CDQRIIUMNLMHRH-UHFFFAOYSA-N"
"MMP13","LBVBVIKJOWWVJX-MRXNPFEDSA-N"
"MMP13","YNHGVYGMFAREOF-UHFFFAOYSA-N"
"ACES","XWNUTLMQEJHZAD-UHFFFAOYSA-N"
"PDE9A","UBBCZBKJYNXHGT-GFCCVEGCSA-N"
"BACE2","PGSGWIDQXZCHJL-FYSMJZIKSA-N"
"CHLE","QXXGDBDNPIPTRF-UHFFFAOYSA-N"
"ACES","QXXGDBDNPIPTRF-UHFFFAOYSA-N"
"MMP13","SEZPRMPVJMVCBV-UHFFFAOYSA-N"
"ACES","HFRNGSUSVIONOS-UHFFFAOYSA-N"
"ACES","FQUTYOZUGJMHGR-UHFFFAOYSA-N"
"ACES","HKQUHJFCVOBXLG-UHFFFAOYSA-N"
"ACES","PAGGEPNXUBSPSP-UHFFFAOYSA-N"
"ACES","MJGVCCPVNPTNCM-UHFFFAOYSA-N"
"ACES","IANXMZMJBKUVLQ-UHFFFAOYSA-N"
"ACES","CJPWVSWHUPXWHU-UHFFFAOYSA-N"
"ACES","PNZIOQNBQOTGPK-UHFFFAOYSA-N"
"CHLE","VSPVCSDDENDBFH-IRLDBZIGSA-N"
"ACES","VSPVCSDDENDBFH-IRLDBZIGSA-N"
"CHLE","ADEBPBSSDYVVLD-UHFFFAOYSA-N"
"ACES","ADEBPBSSDYVVLD-UHFFFAOYSA-N"
"ACES","VKJGBAJNNALVAV-UHFFFAOYSA-M"
"CHLE","HZZGTUOWJWTZKT-JQCXWYLXSA-N"
"MMP13","BDCJZZXWIQJYLP-FIWHBWSRSA-N"
"ACES","YWZCKVAHVJWALI-UHFFFAOYSA-N"
"MMP13","VMWGPLRCSWOQJR-UHFFFAOYSA-N"
"MMP13","QCBWOUQUDIILOW-UHFFFAOYSA-N"
"MMP13","UDTXDKDGZMYOBK-DFBJGRDBSA-N"
"MMP13","JAPLGNWCNXCEJT-XDHUDOTRSA-N"
"MMP13","KFGJNQLPIZMSFB-XDHUDOTRSA-N"
"MMP13","MHYRZRJQEBSULL-ZWKOTPCHSA-N"
"ADA","CKJGKHXCUDWFDC-UHFFFAOYSA-N"
"MMP13","XIQNNSMTTLQUTR-UHFFFAOYSA-N"
"MMP13","PYNQNWZHEDOQHX-VWLOTQADSA-N"
"MMP13","IFHBUYGFCSEHIF-UHFFFAOYSA-N"
"MMP13","ITDDXQSXMTUIFM-UHFFFAOYSA-N"
"MMP13","PRCRNUDMWULKSO-UHFFFAOYSA-N"
"MMP13","VGAPHGIXAQRVAL-UHFFFAOYSA-N"
"MMP13","XYVVUCAHUUIYFV-UHFFFAOYSA-N"
"MMP13","QYMKPTMAFMKKTC-UHFFFAOYSA-N"
"MMP13","YMFBAKCSKQKFMX-UHFFFAOYSA-N"
"MMP13","KFTWEWMQNRZZNL-UHFFFAOYSA-N"
"MMP13","VVZTYGQJDUUATC-UHFFFAOYSA-N"
"ACES","DREAHDLCWZKIJL-UHFFFAOYSA-N"
"ACES","IBPWGZKZWJYGLA-UHFFFAOYSA-N"
"MALT1","OFUVMXZHDYXMJK-UHFFFAOYSA-N"
"AT1A1","LTMHDMANZUZIPE-PUGKRICDSA-N"
"RN5A","RTAGLZBJCCVJET-UQTMIEBXSA-N"
"MMP13","SOPDPCOBVSOXIM-ZDXQCDESSA-N"
"ACES","FTRZTHFGTILUPE-UHFFFAOYSA-N"
"MMP13","DRWHINQPSIPRHF-LLVKDONJSA-N"
"MMP13","VAQNHYAKIUNIKM-CYBMUJFWSA-N"
"CHLE","XOSFOGCCJRNZJO-UHFFFAOYSA-N"
"ACES","XOSFOGCCJRNZJO-UHFFFAOYSA-N"
"MMP13","QPEZTCMCOIDQRV-SMDDNHRTSA-N"
"MMP13","HTNLSTWGHBHDPS-CQSZACIVSA-N"
"TRY1","QEIZOZWDTCKRDF-UHFFFAOYSA-N"
"MMP13","SUSMVCKSLVPRCL-QGZVFWFLSA-N"
"MMP13","RCXJWFMVFQBLSC-MRXNPFEDSA-N"
"MMP13","WGPIMMRNIAYWBT-UHFFFAOYSA-N"
"MMP13","CNDCCBOSTVCBMM-OAHLLOKOSA-N"
"MMP13","HJFONKSERLWIGE-DEOSSOPVSA-N"
"PDE9A","SECKRCOLJRRGGV-UHFFFAOYSA-N"
"TRY1","JXDRVTULOVVFJK-KDVIAZGZSA-N"
