ProtClass,Target,Molecule,ScaID
Other cytosolic protein,HS90A,ZODASEFDXYBTCV-UHFFFAOYSA-N,Sca396
Other cytosolic protein,HS90A,VNEZLWWMNFSDNW-UHFFFAOYSA-N,Sca75088
Other cytosolic protein,HS90A,FJDWNDYYMRLXGQ-UHFFFAOYSA-N,Sca396
Other cytosolic protein,HS90A,XZZRFNJYLXJJCG-UHFFFAOYSA-N,Sca396
Other cytosolic protein,HS90A,PZOOXEJSALVBGI-UHFFFAOYSA-N,Sca396
Other cytosolic protein,HS90A,COCHTDZHHBDUTK-UHFFFAOYSA-N,Sca396
Other cytosolic protein,HS90A,MWCNYHTYHZRDKU-UHFFFAOYSA-N,Sca396
Other cytosolic protein,HS90A,LJXZFKAGNMPIEM-UHFFFAOYSA-N,Sca396
Other cytosolic protein,HS90A,OENDJQYCPXNUJP-UHFFFAOYSA-N,Sca396
Other cytosolic protein,HS90A,VQKBRDXFGLLDPX-UHFFFAOYSA-N,Sca396
Other cytosolic protein,HS90A,LZACPHWPRDKUPK-UHFFFAOYSA-N,Sca3871
Other cytosolic protein,HS90A,LAMAYKFDGWAQMZ-UHFFFAOYSA-N,Sca158568
Other cytosolic protein,HS90A,RFIPMQVNIPVVJZ-UHFFFAOYSA-N,Sca374
Other cytosolic protein,HS90A,JVOIPLKVZOLUDL-UHFFFAOYSA-N,Sca12359
Other cytosolic protein,HS90A,AYDNYYSKMLWXOR-UHFFFAOYSA-N,Sca239532
Other cytosolic protein,HS90A,IBHAGSBJXPUIFA-UHFFFAOYSA-N,Sca115817
Other cytosolic protein,HS90A,AMAPWHCRXIPWMV-UHFFFAOYSA-N,Sca211546
Other cytosolic protein,HS90A,MPDUIKXWFJHUBM-UHFFFAOYSA-N,Sca239527
Other cytosolic protein,HS90A,NIFFFYPXJYKJJY-UHFFFAOYSA-N,Sca247407
Other cytosolic protein,HS90A,TXWPKOAVOIYSHT-UHFFFAOYSA-N,Sca252900
Other cytosolic protein,HS90A,DWCUAHBOVUBFHQ-UHFFFAOYSA-N,Sca16203
Other cytosolic protein,HS90A,PATGSUWTMLNUFV-UHFFFAOYSA-N,Sca247391
Other cytosolic protein,HS90A,WUUXYMBQLRJCRF-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,WUUXYMBQLRJCRF-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,AYUNIORJHRXIBJ-TXHRRWQRSA-N,Sca6847
Other cytosolic protein,HS90A,IVNIBNOGVFIMRE-FAMVWQPRSA-N,Sca6846
Other cytosolic protein,HS90A,BGFYCZKQHDTLHW-UHFFFAOYSA-N,Sca239510
Other cytosolic protein,HS90A,WINCSMQFWFKTHY-FIEPDTELSA-N,Sca6846
Other cytosolic protein,HS90A,QULDDKSCVCJTPV-UHFFFAOYSA-N,Sca3929
Other cytosolic protein,HS90A,OHEUYKZRNQMPTL-HNNXBMFYSA-N,Sca239510
Other cytosolic protein,HS90A,QXIHYVJVVDIBTE-UHFFFAOYSA-N,Sca252225
Other cytosolic protein,HS90A,VTGMGDYLAKWHJZ-UHFFFAOYSA-N,Sca16203
Other cytosolic protein,HS90A,PAECAVLPKKKHNM-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,SMKLGNBGYKBMLA-UHFFFAOYSA-N,Sca239349
Other cytosolic protein,HS90A,NDAZATDQFDPQBD-UHFFFAOYSA-N,Sca103054
Other cytosolic protein,HS90A,DKKADLLUEKFSFF-UHFFFAOYSA-N,Sca239358
Other cytosolic protein,HS90A,SAYWXJCRCITRBW-UHFFFAOYSA-N,Sca239523
