"","ProtClass","Target","Molecule","Scaffold"
"1","Other cytosolic protein","GRP1","SIWILCBNYOGJQH-LDADJPATSA-N","Sca150"
"2","Other cytosolic protein","GRP1","FKPDQMIETMHJBH-UDWIEESQSA-N","Sca150"
"3","Other cytosolic protein","GRP1","DDBJOZVQHUZKJJ-CPNJWEJPSA-N","Sca150"
"4","Other cytosolic protein","GRP1","YHESSERBDSKRDZ-DEDYPNTBSA-N","Sca150"
"5","Other cytosolic protein","GRP1","ZETICKHKBWHSEB-DEDYPNTBSA-N","Sca150"
"6","Other cytosolic protein","GRP3","KPFIRSWIEJGVNZ-DDKMFYJYSA-N","Sca50283"
"7","Other cytosolic protein","GRP3","FKPDQMIETMHJBH-UDWIEESQSA-N","Sca150"
"8","Other cytosolic protein","GRP3","ZETICKHKBWHSEB-DEDYPNTBSA-N","Sca150"
"9","Other cytosolic protein","GRP3","SIWILCBNYOGJQH-LDADJPATSA-N","Sca150"
"10","Other cytosolic protein","GRP3","YHESSERBDSKRDZ-DEDYPNTBSA-N","Sca150"
"11","Other cytosolic protein","GRP3","DDBJOZVQHUZKJJ-CPNJWEJPSA-N","Sca150"
"12","Other cytosolic protein","SERPH","UKJVTPVEQLXYPI-WJLJJOJOSA-N","Sca156318"
"13","Other cytosolic protein","SERPH","WPPHUOBXUDNCMS-FLILSOCVSA-N","Sca220725"
"14","Other cytosolic protein","SERPH","JGQRJSNHMPUKAI-MHZWONBLSA-N","Sca156307"
"15","Other cytosolic protein","SERPH","JGQRJSNHMPUKAI-MHZWONBLSA-N","Sca156356"
"16","Other cytosolic protein","SERPH","UZKBDYAMYHNHFF-XQKNLMOFSA-N","Sca156327"
"17","Other cytosolic protein","SERPH","UZKBDYAMYHNHFF-XQKNLMOFSA-N","Sca156335"
"18","Other cytosolic protein","SERPH","KAXYPGFLTITRQB-ZCYNLIDDSA-N","Sca156318"
"19","Other cytosolic protein","NFKB1","DAPAQENNNINUPW-IDAMAFBJSA-N","Sca96067"
"20","Other cytosolic protein","NFKB1","DAPAQENNNINUPW-IDAMAFBJSA-N","Sca96071"
"21","Other cytosolic protein","IKBA","VTMJBTAZUZNDBS-UHFFFAOYSA-N","Sca419"
"22","Other cytosolic protein","IKBA","CELCJNIQYYQLHB-UHFFFAOYSA-N","Sca108614"
"23","Other cytosolic protein","IKBA","KYPLTYNYSYVGGA-UHFFFAOYSA-N","Sca108614"
"24","Surface antigen","CD2","BGEODEFTZLGQFL-GITVPZJDSA-N","Sca206853"
"25","Surface antigen","CD2","ALUCMQJOGUZADG-ZKRJLDCNSA-N","Sca206849"
"26","Surface antigen","CD22","RHNNBOLUOGPAJV-CYOLFESQSA-N","Sca124090"
"27","Surface antigen","CD22","SUDAYRLDSUECQH-GFYPMFDPSA-N","Sca124101"
"28","Surface antigen","CD22","QATDWUKLFZZIKB-GFYPMFDPSA-N","Sca124101"
"29","Surface antigen","CD22","YIBLAKJMSSTZDU-GFYPMFDPSA-N","Sca124101"
"30","Surface antigen","CD22","OTRZIYCZOYEUAW-ZSGSMGMISA-N","Sca124093"
"31","Surface antigen","CD22","BDPYJKQBNAKWGP-KBOYKCPCSA-N","Sca124096"
"32","Surface antigen","CD22","VGZLWCUFGWIUKE-KXOIUKADSA-N","Sca143031"
"33","Surface antigen","CD22","OYVPUTMZTUBFKJ-ARQUEJKBSA-N","Sca124094"
"34","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family","CD22","RHNNBOLUOGPAJV-CYOLFESQSA-N","Sca124090"
"35","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family","CD22","SUDAYRLDSUECQH-GFYPMFDPSA-N","Sca124101"
"36","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family","CD22","QATDWUKLFZZIKB-GFYPMFDPSA-N","Sca124101"
"37","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family","CD22","YIBLAKJMSSTZDU-GFYPMFDPSA-N","Sca124101"
"38","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family","CD22","OTRZIYCZOYEUAW-ZSGSMGMISA-N","Sca124093"
"39","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family","CD22","BDPYJKQBNAKWGP-KBOYKCPCSA-N","Sca124096"
"40","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family","CD22","VGZLWCUFGWIUKE-KXOIUKADSA-N","Sca143031"
"41","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family","CD22","OYVPUTMZTUBFKJ-ARQUEJKBSA-N","Sca124094"
"42","LanC-like protein family","LANC2","LTFJVAGATJTPPP-UQIVLYAPSA-N","Sca4612"
"43","Secreted protein","APEL","SVWSKJCJNAIKNH-MJZUAXFLSA-N","Sca105872"
"44","Secreted protein","APEL","SEZVZMIKECAWEG-JXWNBHMPSA-N","Sca239224"
"45","Secreted protein","APEL","ZTLIYGFATXKANY-NARBMPSYSA-N","Sca239231"
"46","Secreted protein","APEL","LNRBDCYFRSEYCN-WLTNIFSVSA-O","Sca239235"
"47","Secreted protein","APEL","XXAJFHKETAFVCS-GPPUWUEZSA-N","Sca239239"
"48","Secreted protein","APEL","GDVCCXXQASCRNH-XWQGWOARSA-O","Sca239242"
"49","Secreted protein","APEL","KUDFPXVGQHWSJN-NTGUUYCISA-O","Sca239224"
"50","Secreted protein","APEL","IMFTXRURRZOOOT-GKBSYGSLSA-O","Sca239236"
"51","Secreted protein","APEL","DNZNOYVGGKZKRX-WLTNIFSVSA-N","Sca248155"
"52","Secreted protein","APEL","ANLBZWZSJVURRX-WLTNIFSVSA-O","Sca239246"
"53","Secreted protein","APEL","FIPCFBQOWIGQCK-CFXCWSAJSA-N","Sca239235"
"54","Secreted protein","APEL","AHTOMUMOXQTHCH-NARBMPSYSA-N","Sca239249"
"55","Secreted protein","APEL","JGZCVJGERBCVAW-UDAPDHLFSA-N","Sca239244"
"56","Secreted protein","PDGFA","OJFKUJDRGJSAQB-UHFFFAOYSA-N","Sca234549"
"57","Secreted protein","PDGFB","OJFKUJDRGJSAQB-UHFFFAOYSA-N","Sca234549"
"58","Secreted protein","IL2","VNZHOIDQBPFEJU-OAQYLSRUSA-N","Sca30526"
"59","Secreted protein","CO3","JSPKWLRQUPIDRS-NWJDZPOUSA-N","Sca68747"
