"","Target","Molecule","Scaffold"
"1","HS90B","QYZCJVOCSJBEHM-UHFFFAOYSA-N","Sca42060"
"2","HS90B","UOPQHPBCVYHSFF-UHFFFAOYSA-N","Sca203"
"3","HS90B","ZUIRRFVWIHDBRR-UHFFFAOYSA-N","Sca42060"
"4","HS90B","NDAZATDQFDPQBD-UHFFFAOYSA-N","Sca103054"
"5","HS90B","KQRDVNUCOWRFLN-UHFFFAOYSA-N","Sca42060"
"6","HS90B","SZHAICFRANHMKQ-UHFFFAOYSA-N","Sca42060"
"7","HS90B","OIYQOJBOWPOPMU-UHFFFAOYSA-N","Sca107158"
"8","HS90B","QUZZWYGVVPGASL-UHFFFAOYSA-N","Sca42060"
"9","HS90B","RGDGKLFZAZUSJF-UHFFFAOYSA-N","Sca42060"
"10","HS90B","FFCLCTHAQCJCLU-UHFFFAOYSA-N","Sca42060"
"11","HS90B","PRHFNUFTGSQDAG-UHFFFAOYSA-N","Sca42060"
"12","HS90B","YPEOXUOUTBMBCX-UHFFFAOYSA-N","Sca42060"
"13","HS90B","FXDPYZMMXPTNNY-UHFFFAOYSA-N","Sca42060"
"14","HS90B","JMZAAZZRUPWHDX-UHFFFAOYSA-N","Sca42060"
"15","XIAP","MNWPVYOXWIATDM-NDXORKPFSA-N","Sca926"
"16","KIF11","OQMVLDZJPRSNOG-UHFFFAOYSA-N","Sca158910"
"17","KIF11","OQMVLDZJPRSNOG-UHFFFAOYSA-N","Sca24289"
"18","KIF11","LSPYJDKYIOCDAG-UHFFFAOYSA-N","Sca158910"
"19","KIF11","LSPYJDKYIOCDAG-UHFFFAOYSA-N","Sca24289"
"20","KIF11","ZAFIZWDINNCNAQ-UHFFFAOYSA-N","Sca152756"
"21","KIF11","KTHQMGRUOMWNKN-UHFFFAOYSA-N","Sca152756"
"22","KIF11","JTMSIENUWCQMKW-UHFFFAOYSA-N","Sca152756"
"23","KIF11","KZGOVHLBKDLTGK-UHFFFAOYSA-N","Sca158910"
"24","KIF11","KZGOVHLBKDLTGK-UHFFFAOYSA-N","Sca24289"
"25","KIF11","NGADEBBDUSTEJD-UHFFFAOYSA-N","Sca24288"
"26","KIF11","BCBSYXGYLMMICN-DEOSSOPVSA-N","Sca9378"
"27","KIF11","WCTKDNLFFHJUBH-UHFFFAOYSA-N","Sca152756"
"28","KIF11","QBZAPFWYAPXRGQ-UHFFFAOYSA-N","Sca158910"
"29","KIF11","QBZAPFWYAPXRGQ-UHFFFAOYSA-N","Sca24289"
"30","KIF11","HRTBWTOXJOXCCB-UHFFFAOYSA-N","Sca24288"
"31","KIF11","JGQZJNAWAPHWAR-UHFFFAOYSA-N","Sca158910"
"32","KIF11","JGQZJNAWAPHWAR-UHFFFAOYSA-N","Sca24289"
"33","KIF11","CTWWCYYGTKSRCU-UHFFFAOYSA-N","Sca24288"
"34","KIF11","GUQHKLBVXRKUJR-UHFFFAOYSA-N","Sca10122"
"35","KIF11","YLSHULIHKQRKEM-UHFFFAOYSA-N","Sca158910"
"36","KIF11","YLSHULIHKQRKEM-UHFFFAOYSA-N","Sca24289"
"37","KIF11","JWZIYEIYAGYNBS-UHFFFAOYSA-N","Sca10122"
"38","KIF11","YKFQESUWSKBWHG-UHFFFAOYSA-N","Sca158910"
"39","KIF11","YKFQESUWSKBWHG-UHFFFAOYSA-N","Sca24289"
"40","KIF11","YLSHULIHKQRKEM-KRWDZBQOSA-N","Sca158910"
"41","KIF11","YLSHULIHKQRKEM-KRWDZBQOSA-N","Sca24289"
"42","KIF11","ILZIULCMOOXKIH-UHFFFAOYSA-N","Sca152756"
"43","KIF11","GJULOGPHZJDCJQ-UHFFFAOYSA-N","Sca152756"
"44","KIF11","ZVRAARQTTFEQRR-UHFFFAOYSA-N","Sca15169"
"45","KIF11","DANDPDZPOQTPCP-UHFFFAOYSA-N","Sca10122"
"46","KIF11","WOAHQSQWLSCAPA-UHFFFAOYSA-N","Sca24288"
"47","KIF11","OHLDJJXRTLZQSU-UHFFFAOYSA-N","Sca158910"
"48","KIF11","OHLDJJXRTLZQSU-UHFFFAOYSA-N","Sca24289"
"49","KIF11","DWLDIEDANWVQTK-UHFFFAOYSA-N","Sca152756"
"50","KIF11","RJXBZPLCHUDNKA-UHFFFAOYSA-N","Sca24288"
"51","KIF11","JQAYLIPNUJFLNN-UHFFFAOYSA-N","Sca158910"
"52","KIF11","JQAYLIPNUJFLNN-UHFFFAOYSA-N","Sca24289"
"53","KIF11","RVJWHYWBFQXTCP-UHFFFAOYSA-N","Sca158910"
"54","KIF11","RVJWHYWBFQXTCP-UHFFFAOYSA-N","Sca24289"
"55","KIF11","MJKDJLYKGAWSMR-UHFFFAOYSA-N","Sca152756"
"56","KIF11","STTPVPFICZSMOW-UHFFFAOYSA-N","Sca158910"
"57","KIF11","STTPVPFICZSMOW-UHFFFAOYSA-N","Sca24289"
"58","KIF11","QCKCFJTWKWDFDH-UHFFFAOYSA-N","Sca152756"
"59","KIF11","ZWHQHFRILQQPML-UHFFFAOYSA-N","Sca152756"
"60","KIF11","HCYQYDUEACJRJG-UHFFFAOYSA-N","Sca152756"
"61","KIF11","OJTLBPPHFFUINF-UHFFFAOYSA-N","Sca158910"
"62","KIF11","OJTLBPPHFFUINF-UHFFFAOYSA-N","Sca24289"
"63","KIF11","AOZHNKZMGVFBND-UHFFFAOYSA-N","Sca152756"
"64","KIF11","KDIDLHQVYZHJQM-UHFFFAOYSA-N","Sca24288"
"65","KIF11","GOAVOFCRODIGFE-IBGZPJMESA-N","Sca25876"
"66","KIF11","URYSLFPRZAGVOS-UHFFFAOYSA-N","Sca15169"
"67","KIF11","LDIUIXFIAWISPB-UHFFFAOYSA-N","Sca43430"
