Molecule,Target,Value,Unit,Parameter,ScaID
QYZCJVOCSJBEHM-UHFFFAOYSA-N,HS90B,47.0,nM,IC50,Sca42060
UOPQHPBCVYHSFF-UHFFFAOYSA-N,HS90B,900.0,nM,IC50,Sca203
ZUIRRFVWIHDBRR-UHFFFAOYSA-N,HS90B,300.0,nM,IC50,Sca42060
NDAZATDQFDPQBD-UHFFFAOYSA-N,HS90B,2.0,nM,Ki,Sca103054
NDAZATDQFDPQBD-UHFFFAOYSA-N,HS90B,7.0,nM,IC50,Sca103054
NDAZATDQFDPQBD-UHFFFAOYSA-N,HS90B,85.0,nM,IC50,Sca103054
NDAZATDQFDPQBD-UHFFFAOYSA-N,HS90B,31.0,nM,IC50,Sca103054
KQRDVNUCOWRFLN-UHFFFAOYSA-N,HS90B,56.0,nM,IC50,Sca42060
SZHAICFRANHMKQ-UHFFFAOYSA-N,HS90B,84.0,nM,IC50,Sca42060
OIYQOJBOWPOPMU-UHFFFAOYSA-N,HS90B,100.0,nM,IC50,Sca107158
OIYQOJBOWPOPMU-UHFFFAOYSA-N,HS90B,420.0,nM,IC50,Sca107158
QUZZWYGVVPGASL-UHFFFAOYSA-N,HS90B,80.0,nM,IC50,Sca42060
RGDGKLFZAZUSJF-UHFFFAOYSA-N,HS90B,80.0,nM,IC50,Sca42060
FFCLCTHAQCJCLU-UHFFFAOYSA-N,HS90B,127.0,nM,IC50,Sca42060
PRHFNUFTGSQDAG-UHFFFAOYSA-N,HS90B,720.0,nM,IC50,Sca42060
YPEOXUOUTBMBCX-UHFFFAOYSA-N,HS90B,230.0,nM,IC50,Sca42060
FXDPYZMMXPTNNY-UHFFFAOYSA-N,HS90B,29.0,nM,IC50,Sca42060
JMZAAZZRUPWHDX-UHFFFAOYSA-N,HS90B,340.0,nM,IC50,Sca42060
MNWPVYOXWIATDM-NDXORKPFSA-N,XIAP,700.0,nM,Ki,Sca926
OQMVLDZJPRSNOG-UHFFFAOYSA-N,KIF11,44.0,nM,IC50,Sca158910
OQMVLDZJPRSNOG-UHFFFAOYSA-N,KIF11,44.0,nM,IC50,Sca24289
LSPYJDKYIOCDAG-UHFFFAOYSA-N,KIF11,697.0,nM,IC50,Sca158910
LSPYJDKYIOCDAG-UHFFFAOYSA-N,KIF11,697.0,nM,IC50,Sca24289
ZAFIZWDINNCNAQ-UHFFFAOYSA-N,KIF11,462.0,nM,IC50,Sca152756
KTHQMGRUOMWNKN-UHFFFAOYSA-N,KIF11,40.0,nM,IC50,Sca152756
JTMSIENUWCQMKW-UHFFFAOYSA-N,KIF11,664.0,nM,IC50,Sca152756
KZGOVHLBKDLTGK-UHFFFAOYSA-N,KIF11,94.0,nM,IC50,Sca158910
KZGOVHLBKDLTGK-UHFFFAOYSA-N,KIF11,94.0,nM,IC50,Sca24289
NGADEBBDUSTEJD-UHFFFAOYSA-N,KIF11,26.0,nM,IC50,Sca24288
BCBSYXGYLMMICN-DEOSSOPVSA-N,KIF11,16.3,nM,IC50,Sca9378
BCBSYXGYLMMICN-DEOSSOPVSA-N,KIF11,4.2,nM,Ki,Sca9378
BCBSYXGYLMMICN-DEOSSOPVSA-N,KIF11,200.0,nM,Ki,Sca9378
WCTKDNLFFHJUBH-UHFFFAOYSA-N,KIF11,169.0,nM,IC50,Sca152756
QBZAPFWYAPXRGQ-UHFFFAOYSA-N,KIF11,450.0,nM,IC50,Sca158910
QBZAPFWYAPXRGQ-UHFFFAOYSA-N,KIF11,450.0,nM,IC50,Sca24289
HRTBWTOXJOXCCB-UHFFFAOYSA-N,KIF11,55.0,nM,IC50,Sca24288
JGQZJNAWAPHWAR-UHFFFAOYSA-N,KIF11,460.0,nM,IC50,Sca158910
JGQZJNAWAPHWAR-UHFFFAOYSA-N,KIF11,460.0,nM,IC50,Sca24289
CTWWCYYGTKSRCU-UHFFFAOYSA-N,KIF11,892.0,nM,IC50,Sca24288
GUQHKLBVXRKUJR-UHFFFAOYSA-N,KIF11,44.0,nM,IC50,Sca10122
YLSHULIHKQRKEM-UHFFFAOYSA-N,KIF11,51.0,nM,IC50,Sca158910
YLSHULIHKQRKEM-UHFFFAOYSA-N,KIF11,51.0,nM,IC50,Sca24289
JWZIYEIYAGYNBS-UHFFFAOYSA-N,KIF11,110.0,nM,IC50,Sca10122
JWZIYEIYAGYNBS-UHFFFAOYSA-N,KIF11,48.0,nM,IC50,Sca10122
YKFQESUWSKBWHG-UHFFFAOYSA-N,KIF11,103.0,nM,IC50,Sca158910
YKFQESUWSKBWHG-UHFFFAOYSA-N,KIF11,103.0,nM,IC50,Sca24289
YLSHULIHKQRKEM-KRWDZBQOSA-N,KIF11,24.7,nM,IC50,Sca158910
YLSHULIHKQRKEM-KRWDZBQOSA-N,KIF11,26.0,nM,IC50,Sca158910
YLSHULIHKQRKEM-KRWDZBQOSA-N,KIF11,24.7,nM,IC50,Sca24289
YLSHULIHKQRKEM-KRWDZBQOSA-N,KIF11,26.0,nM,IC50,Sca24289
ILZIULCMOOXKIH-UHFFFAOYSA-N,KIF11,237.0,nM,IC50,Sca152756
GJULOGPHZJDCJQ-UHFFFAOYSA-N,KIF11,347.0,nM,IC50,Sca152756
ZVRAARQTTFEQRR-UHFFFAOYSA-N,KIF11,51.0,nM,IC50,Sca15169
DANDPDZPOQTPCP-UHFFFAOYSA-N,KIF11,120.0,nM,IC50,Sca10122
WOAHQSQWLSCAPA-UHFFFAOYSA-N,KIF11,100.0,nM,IC50,Sca24288
OHLDJJXRTLZQSU-UHFFFAOYSA-N,KIF11,8.0,nM,IC50,Sca158910
OHLDJJXRTLZQSU-UHFFFAOYSA-N,KIF11,8.0,nM,IC50,Sca24289
DWLDIEDANWVQTK-UHFFFAOYSA-N,KIF11,75.0,nM,IC50,Sca152756
RJXBZPLCHUDNKA-UHFFFAOYSA-N,KIF11,686.0,nM,IC50,Sca24288
JQAYLIPNUJFLNN-UHFFFAOYSA-N,KIF11,113.0,nM,IC50,Sca158910
JQAYLIPNUJFLNN-UHFFFAOYSA-N,KIF11,113.0,nM,IC50,Sca24289
RVJWHYWBFQXTCP-UHFFFAOYSA-N,KIF11,903.0,nM,IC50,Sca158910
RVJWHYWBFQXTCP-UHFFFAOYSA-N,KIF11,903.0,nM,IC50,Sca24289
MJKDJLYKGAWSMR-UHFFFAOYSA-N,KIF11,290.0,nM,IC50,Sca152756
STTPVPFICZSMOW-UHFFFAOYSA-N,KIF11,250.0,nM,IC50,Sca158910
STTPVPFICZSMOW-UHFFFAOYSA-N,KIF11,250.0,nM,IC50,Sca24289
QCKCFJTWKWDFDH-UHFFFAOYSA-N,KIF11,65.0,nM,IC50,Sca152756
ZWHQHFRILQQPML-UHFFFAOYSA-N,KIF11,83.0,nM,IC50,Sca152756
HCYQYDUEACJRJG-UHFFFAOYSA-N,KIF11,224.0,nM,IC50,Sca152756
OJTLBPPHFFUINF-UHFFFAOYSA-N,KIF11,84.0,nM,IC50,Sca158910
OJTLBPPHFFUINF-UHFFFAOYSA-N,KIF11,84.0,nM,IC50,Sca24289
AOZHNKZMGVFBND-UHFFFAOYSA-N,KIF11,204.0,nM,IC50,Sca152756
KDIDLHQVYZHJQM-UHFFFAOYSA-N,KIF11,85.0,nM,IC50,Sca24288
GOAVOFCRODIGFE-IBGZPJMESA-N,KIF11,200.0,nM,Ki,Sca25876
URYSLFPRZAGVOS-UHFFFAOYSA-N,KIF11,35.0,nM,IC50,Sca15169
LDIUIXFIAWISPB-UHFFFAOYSA-N,KIF11,520.0,nM,IC50,Sca43430
HLLSMWRIVCVNPC-UHFFFAOYSA-N,KIF11,552.0,nM,IC50,Sca24288
SEXCJDFKWPAKKO-UHFFFAOYSA-N,KIF11,7.0,nM,IC50,Sca152756
OZYDBDUDGNXUNU-UHFFFAOYSA-N,KIF11,290.0,nM,IC50,Sca4317
LOLFKKQHIFLOFL-UHFFFAOYSA-N,KIF11,118.0,nM,IC50,Sca152756
LSUCOXDOQAEXKL-UHFFFAOYSA-N,KIF11,391.0,nM,IC50,Sca24288
GUEBRLZPFWEFBT-UHFFFAOYSA-N,KIF11,745.0,nM,IC50,Sca158910
GUEBRLZPFWEFBT-UHFFFAOYSA-N,KIF11,745.0,nM,IC50,Sca24289
NWQGWFQMZIAQGH-UHFFFAOYSA-N,KIF11,380.0,nM,IC50,Sca152756
XDHCXBRJKTWUNW-DEOSSOPVSA-N,KIF11,16.3,nM,Ki,Sca8548
XDHCXBRJKTWUNW-DEOSSOPVSA-N,KIF11,2.1,nM,Ki,Sca8548
OSSVSMDGQRWKKE-UHFFFAOYSA-N,KIF11,520.0,nM,IC50,Sca10122
UWGJGMJVRLOOKQ-UHFFFAOYSA-N,KIF11,64.0,nM,IC50,Sca10122
UWGJGMJVRLOOKQ-UHFFFAOYSA-N,KIF11,111.0,nM,IC50,Sca10122
SGPBCFRSJZPAQO-UHFFFAOYSA-N,KIF11,606.0,nM,IC50,Sca158910
SGPBCFRSJZPAQO-UHFFFAOYSA-N,KIF11,606.0,nM,IC50,Sca24289
VZJZHIKRRFMIGO-UHFFFAOYSA-N,KIF11,390.0,nM,IC50,Sca158910
VZJZHIKRRFMIGO-UHFFFAOYSA-N,KIF11,390.0,nM,IC50,Sca24289
HDQXKARBJCKMRU-UHFFFAOYSA-N,KIF11,10.6,nM,Ki,Sca8548
BTYXAYFKYZQQTA-UHFFFAOYSA-N,KIF11,724.0,nM,IC50,Sca152756
NWFWLXVUCFLSOQ-UHFFFAOYSA-N,KIF11,585.0,nM,IC50,Sca158910
NWFWLXVUCFLSOQ-UHFFFAOYSA-N,KIF11,585.0,nM,IC50,Sca24289
WEBKXJQYYGVMJI-UHFFFAOYSA-N,KIF11,454.0,nM,IC50,Sca152756
OHLDJJXRTLZQSU-NRFANRHFSA-N,KIF11,1.9,nM,IC50,Sca158910
OHLDJJXRTLZQSU-NRFANRHFSA-N,KIF11,1.9,nM,IC50,Sca24289
AZJCZEZHRKVWAX-UHFFFAOYSA-N,KIF11,483.0,nM,IC50,Sca152756
SQGYSFDZVYSROA-UHFFFAOYSA-N,KIF11,284.0,nM,IC50,Sca158910
SQGYSFDZVYSROA-UHFFFAOYSA-N,KIF11,284.0,nM,IC50,Sca24289
QJBOHADGMLFYLD-UHFFFAOYSA-N,KIF11,67.0,nM,IC50,Sca158910
QJBOHADGMLFYLD-UHFFFAOYSA-N,KIF11,67.0,nM,IC50,Sca24289
VZEKPRMFWVRUJY-UHFFFAOYSA-N,KIF11,122.0,nM,IC50,Sca24288
XWNQRYAPQUFUMS-VXKWHMMOSA-N,GRB2,1.0,nM,IC50,Sca7253
SCIRNASYBOGBOO-UHFFFAOYSA-N,NISCH,12.0,nM,Ki,Sca219
CQXADFVORZEARL-UHFFFAOYSA-N,NISCH,59.2,nM,Ki,Sca14740
CQXADFVORZEARL-UHFFFAOYSA-N,NISCH,59.16,nM,Ki,Sca14740
GINZDZUXJCCWBN-UHFFFAOYSA-N,PAI1,594.0,nM,IC50,Sca28370
