TargetName,Scaffold,Molecule
NOX1_HUMAN,Sca163389,1
CY24B_HUMAN,Sca19551,1
CY24B_HUMAN,Sca247790,1
HEPS_HUMAN,Sca371,4
HEPS_HUMAN,Sca144044,1
HEPS_HUMAN,Sca7018,3
HEPS_HUMAN,Sca252830,1
HEPS_HUMAN,Sca6,1
HEPS_HUMAN,Sca18084,1
HEPS_HUMAN,Sca1735,2
HEPS_HUMAN,Sca150,4
HEPS_HUMAN,Sca160,2
HEPS_HUMAN,Sca263658,1
HEPS_HUMAN,Sca41683,1
CFAD_HUMAN,Sca232598,1
CFAD_HUMAN,Sca210474,1
CFAD_HUMAN,Sca210476,2
CFAD_HUMAN,Sca232595,2
TMPS6_HUMAN,Sca42616,1
TMPS6_HUMAN,Sca371,6
TMPS6_HUMAN,Sca67888,1
TMPS6_HUMAN,Sca115297,1
TMPS6_HUMAN,Sca115298,10
TMPS6_HUMAN,Sca17505,1
TMPS6_HUMAN,Sca370,6
TMPS6_HUMAN,Sca851,1
TMPS6_HUMAN,Sca103615,2
TMPS6_HUMAN,Sca248901,1
TMPS6_HUMAN,Sca263080,1
TMPS6_HUMAN,Sca248897,1
TMPS6_HUMAN,Sca919,1
TMPS6_HUMAN,Sca248896,1
ENTK_HUMAN,Sca205,52
ENTK_HUMAN,Sca336,58
ENTK_HUMAN,Sca2970,4
ENTK_HUMAN,Sca2424,3
ENTK_HUMAN,Sca371,2
ENTK_HUMAN,Sca42610,2
ENTK_HUMAN,Sca165370,7
ENTK_HUMAN,Sca9682,1
TM11D_HUMAN,Sca186200,1
TM11D_HUMAN,Sca851,7
TM11D_HUMAN,Sca61564,1
TM11D_HUMAN,Sca3019,1
TM11D_HUMAN,Sca186218,1
TM11D_HUMAN,Sca7,12
TM11D_HUMAN,Sca186219,1
TM11D_HUMAN,Sca186206,1
TM11D_HUMAN,Sca850,3
TM11D_HUMAN,Sca186203,1
TM11D_HUMAN,Sca186213,4
TM11D_HUMAN,Sca186209,1
TM11D_HUMAN,Sca371,1
TM11D_HUMAN,Sca186204,1
TM11D_HUMAN,Sca71611,1
TM11D_HUMAN,Sca919,1
TM11D_HUMAN,Sca61609,1
TM11D_HUMAN,Sca186215,1
TM11D_HUMAN,Sca186212,1
TPP2_RAT,Sca296,4
TPP2_RAT,Sca255,1
MBTP1_HUMAN,Sca97177,2
MBTP1_HUMAN,Sca97175,3
MBTP1_HUMAN,Sca97173,3
MBTP1_HUMAN,Sca34712,5
MBTP1_HUMAN,Sca97184,1
MBTP1_HUMAN,Sca97186,2
MBTP1_HUMAN,Sca97180,1
MBTP1_HUMAN,Sca97182,1
MBTP1_HUMAN,Sca97188,1
GTR1_RAT,Sca149,1
NR0B2_HUMAN,Sca28817,2
STK26_HUMAN,Sca152282,1
BRPF1_HUMAN,Sca167167,2
BRPF1_HUMAN,Sca34250,3
BRPF1_HUMAN,Sca167042,5
BRPF1_HUMAN,Sca179358,3
BRPF1_HUMAN,Sca52190,1
BRPF3_HUMAN,Sca258615,1
KDM5C_HUMAN,Sca232413,1
KDM5C_HUMAN,Sca262584,1
KDM5C_HUMAN,Sca110,2
KDM5A_HUMAN,Sca135615,1
BAZ2A_HUMAN,Sca253841,3
BAZ2B_HUMAN,Sca253841,3
KDM4C_HUMAN,Sca135615,1
KDM4C_HUMAN,Sca110,2
KDM4C_HUMAN,Sca232413,1
KDM2A_HUMAN,Sca262588,2
KDM2A_HUMAN,Sca232413,1
KDM2A_HUMAN,Sca262592,3
KDM2A_HUMAN,Sca17725,1
BRD1_HUMAN,Sca258615,1
KDM6B_HUMAN,Sca135615,1
KDM6B_HUMAN,Sca236546,1
KDM6B_HUMAN,Sca110,1
KDM4E_HUMAN,Sca110,3
KDM4E_HUMAN,Sca232413,1
KDM4E_HUMAN,Sca135615,1
KDM4E_HUMAN,Sca13484,1
KDM3A_HUMAN,Sca232413,1
KDM3A_HUMAN,Sca110,1
PDE9A_HUMAN,Sca209726,12
PDE9A_HUMAN,Sca117694,7
PDE9A_HUMAN,Sca140741,9
PDE9A_HUMAN,Sca19378,2
PDE9A_HUMAN,Sca66474,3
PDE9A_HUMAN,Sca203613,1
PDE9A_HUMAN,Sca117681,2
PDE9A_HUMAN,Sca209460,2
PDE9A_HUMAN,Sca250655,5
PDE9A_HUMAN,Sca140742,3
PDE9A_HUMAN,Sca140765,1
PDE9A_HUMAN,Sca297555,1
PDE9A_HUMAN,Sca15839,1
PDE9A_HUMAN,Sca16614,1
PDE9A_HUMAN,Sca2236,1
PDE9A_HUMAN,Sca24741,1
PDE9A_HUMAN,Sca21386,1
PDE9A_HUMAN,Sca140747,1
PDE9A_HUMAN,Sca140768,2
PDE9A_HUMAN,Sca149939,2
PDE9A_HUMAN,Sca65200,1
PDE9A_HUMAN,Sca66820,1
MALT1_HUMAN,Sca4381,2
RN5A_MOUSE,Sca85505,2
RN5A_MOUSE,Sca85507,2
RN5A_MOUSE,Sca85518,2
RN5A_MOUSE,Sca44301,4
RN5A_MOUSE,Sca44475,4
RN5A_MOUSE,Sca148300,2
RN5A_HUMAN,Sca202316,3
RN5A_HUMAN,Sca202208,2
RN5A_HUMAN,Sca85505,6
RN5A_HUMAN,Sca85507,6
RN5A_HUMAN,Sca85518,6
RN5A_HUMAN,Sca202205,2
RN5A_HUMAN,Sca202135,2
RN5A_HUMAN,Sca225765,2
RN5A_HUMAN,Sca225773,2
RN5A_HUMAN,Sca225768,1
RN5A_HUMAN,Sca202200,1
RN5A_HUMAN,Sca44301,1
RN5A_HUMAN,Sca44475,1
PPAC_HUMAN,Sca121196,1
PPAC_HUMAN,Sca20799,2
PPAC_HUMAN,Sca116623,2
PPAC_HUMAN,Sca11795,1
PPAC_HUMAN,Sca97994,1
AT1A1_HUMAN,Sca243848,2
AT1A1_HUMAN,Sca44126,1
BACE2_HUMAN,Sca218285,21
BACE2_HUMAN,Sca143798,2
BACE2_HUMAN,Sca6686,2
BACE2_HUMAN,Sca222704,7
BACE2_HUMAN,Sca7,7
BACE2_HUMAN,Sca144116,6
BACE2_HUMAN,Sca218291,2
BACE2_HUMAN,Sca143799,17
BACE2_HUMAN,Sca143809,17
BACE2_HUMAN,Sca143807,1
BACE2_HUMAN,Sca258759,2
BACE2_HUMAN,Sca70271,1
BACE2_HUMAN,Sca144115,8
BACE2_HUMAN,Sca84821,6
BACE2_HUMAN,Sca252308,1
BACE2_HUMAN,Sca210165,1
BACE2_HUMAN,Sca210161,1
BACE2_HUMAN,Sca209158,3
BACE2_HUMAN,Sca209159,4
BACE2_HUMAN,Sca240649,1
BACE2_HUMAN,Sca197163,2
BACE2_HUMAN,Sca143793,3
BACE2_HUMAN,Sca143792,3
BACE2_HUMAN,Sca408,2
BACE2_HUMAN,Sca210156,2
BACE2_HUMAN,Sca206681,2
BACE2_HUMAN,Sca143810,2
BACE2_HUMAN,Sca19778,2
BACE2_HUMAN,Sca146986,1
BACE2_HUMAN,Sca143804,1
BACE2_HUMAN,Sca209153,1
BACE2_HUMAN,Sca206685,1
BACE2_HUMAN,Sca5344,1
BACE2_RAT,Sca216675,4
BACE2_RAT,Sca224571,1
BACE2_RAT,Sca224569,1
CNOT7_HUMAN,Sca1419,1
AMYP_HUMAN,Sca262132,1
AMYP_HUMAN,Sca18500,1
AMYP_HUMAN,Sca160174,1
AMYP_HUMAN,Sca262485,1
AMYP_HUMAN,Sca262139,1
AMYP_HUMAN,Sca262135,1
AMYP_HUMAN,Sca262476,1
CHLE_MOUSE,Sca2762,3
CHLE_MOUSE,Sca106165,1
CHLE_MOUSE,Sca106184,1
CHLE_MOUSE,Sca29035,1
CHLE_MOUSE,Sca20051,16
CHLE_MOUSE,Sca149350,1
CHLE_MOUSE,Sca19965,2
CHLE_MOUSE,Sca149641,1
CHLE_MOUSE,Sca149619,1
CHLE_MOUSE,Sca136600,1
