ScaID,Target,count(DISTINCT Molecule)
Sca150,BACE1,2
Sca150,EZH2,4
Sca150,5HT2C,32
Sca150,5HT2A,36
Sca150,FAAH1,7
Sca150,MTR1A,32
Sca150,MTR1B,42
Sca150,HPGDS,4
Sca150,LCAP,3
Sca150,ERAP2,3
Sca150,ERAP1,1
Sca150,ST14,4
Sca150,HEPS,4
Sca150,HGFA,4
Sca150,PIN1,1
Sca150,PTK6,2
Sca150,M3K5,1
Sca150,ANDR,28
Sca150,CAH9,5
Sca150,CAH2,9
Sca150,CAH12,7
Sca150,KPCE,5
Sca150,GRP3,5
Sca150,KPCA,6
Sca150,GRP1,5
Sca150,GCR,69
Sca150,PD2R2,81
Sca150,SC6A2,49
Sca150,SC6A4,144
Sca150,HRH4,68
Sca150,ICMT,2
Sca150,GRIA1,2
Sca150,NPFF2,1
Sca150,NPFF1,1
Sca150,LOX5,17
Sca150,AK1C3,12
Sca150,CATK,3
Sca150,CATB,2
Sca150,NPY5R,12
Sca150,PGH2,42
Sca150,PGH1,6
Sca150,B2CL1,1
Sca150,NOS1,4
Sca150,PIM1,2
Sca150,T23O,4
Sca150,HDAC3,4
Sca150,F16P1,5
Sca150,CAH1,9
Sca150,MCR,47
Sca150,PRGR,34
Sca150,CP3A4,2
Sca150,5HT6R,115
Sca150,5HT1B,28
Sca150,5HT2B,43
Sca150,CP1A2,1
Sca150,AA2AR,3
Sca150,CATC,1
Sca150,5HT4R,7
Sca150,FURIN,6
Sca150,PCSK5,1
Sca150,PCSK6,1
Sca150,PCSK7,1
Sca150,PCSK4,1
Sca150,ADRB1,13
Sca150,DPP4,1
Sca150,PYGL,60
Sca150,HRH2,7
Sca150,HRH3,11
Sca150,SC6A3,14
Sca150,MMP14,3
Sca150,MMP1,10
Sca150,NMDE2,1
Sca150,5HT5A,5
Sca150,5HT7R,4
Sca150,AOFA,33
Sca150,PA24A,18
Sca150,CNR2,41
Sca150,CNR1,42
Sca150,CATL1,3
Sca150,PE2R1,1
Sca150,AOFB,19
Sca150,5HT1A,39
Sca150,5HT3A,4
Sca150,MSHR,3
Sca150,MC5R,16
Sca150,DHI1,1
Sca150,TRPV1,2
Sca150,PPARD,2
Sca150,PPARA,2
Sca150,VGFR2,17
Sca150,CMA1,2
Sca150,HDAC1,14
Sca150,PTN1,1
Sca150,CCR4,3
Sca150,BCAT1,1
Sca150,CATS,3
Sca150,MCL1,9
Sca150,BCL2,1
Sca150,HDAC6,10
Sca150,HYEP,1
Sca150,MC4R,23
Sca150,MC3R,10
Sca150,LOX15,5
Sca150,CP2D6,16
Sca150,SIR1,1
Sca150,NTR2,1
Sca150,5HT1D,25
Sca150,ACES,2
Sca150,ADRB2,10
Sca150,ADRB3,8
Sca150,TSPO,96
Sca150,GHSR,1
Sca150,AHR,1
Sca150,F263,7
Sca150,THA,9
Sca150,THB,22
Sca150,IMDH2,7
Sca150,GALR2,3
Sca150,GALR1,4
Sca150,GNRHR,1
Sca150,CAN1,2
Sca150,CCKAR,7
Sca150,CAH7,2
Sca150,CAH14,2
Sca150,PAR4,5
Sca150,HMDH,2
Sca150,NTRK1,1
Sca150,ALDR,12
Sca150,CAH5B,1
Sca150,CAH15,1
Sca150,CAH5A,1
Sca150,CAH6,1
Sca150,GBRA1,6
Sca150,GBRA5,4
Sca150,GBRA2,3
Sca150,EDNRA,3
Sca150,EDNRB,1
Sca150,DRD2,16
Sca150,DRD4,2
Sca150,DRD3,1
Sca150,GRPR,2
Sca150,ITAV,1
Sca150,ACHA9,1
Sca150,ACHA7,2
Sca150,PA2GA,57
Sca150,HDAC2,8
Sca150,MMP2,10
Sca150,DYR1A,16
Sca150,CLK1,17
Sca150,M3K14,5
Sca150,THAS,2
Sca150,PERM,1
Sca150,NMDZ1,2
Sca150,FPPS,1
Sca150,MMP3,1
Sca150,MMP7,1
Sca150,IKKB,1
Sca150,PTH1R,1
Sca150,GASR,3
Sca150,OPRM,12
Sca150,CASP5,1
Sca150,CASP1,1
Sca150,CASP4,1
Sca150,RIPK1,2
Sca150,NK1R,7
Sca150,NK2R,1
Sca150,C11B2,5
Sca150,C11B1,3
Sca150,ECE1,1
Sca150,NEP,1
Sca150,KCNH2,1
Sca150,OPRD,1
Sca150,HRH1,2
Sca150,C3AR,1
Sca150,KIF11,12
Sca150,ACLY,2
Sca150,FABP4,3
Sca150,MDM2,4
Sca150,ADA1B,2
Sca150,ADA1A,1
Sca150,GSK3B,3
Sca150,HDAC5,2
Sca150,HDAC4,2
Sca150,HDAC8,3
Sca150,HDAC7,1
Sca150,HDA11,1
Sca150,HDA10,1
Sca150,HDAC9,1
Sca150,PD2R,9
Sca150,IL8,1
Sca150,NTR1,15
Sca150,GRIK2,1
Sca150,CXCR2,15
Sca150,THRB,2
Sca150,UROK,2
Sca150,TRY1,2
Sca150,PLMN,2
Sca150,TPA,2
Sca150,TDT,1
Sca150,RENI,1
Sca150,AL5AP,2
Sca150,PA2GX,6
Sca150,PA21B,4
Sca150,PA2GD,3
Sca150,PA2GF,3
Sca150,PPARG,1
Sca150,CCR2,1
Sca150,PA2GE,5
Sca150,PA2G5,5
Sca150,PGES2,3
Sca150,PTGES,2
Sca50283,GRP3,1
Sca156318,SERPH,2
Sca220725,SERPH,1
Sca156307,SERPH,1
Sca156356,SERPH,1
Sca156327,SERPH,1
Sca156335,SERPH,1
Sca96067,IF4A1,16
Sca96067,NFKB1,1
Sca96067,TF65,1
Sca96071,IF4A1,16
Sca96071,NFKB1,1
Sca96071,TF65,1
Sca419,ANDR,17
Sca419,HDAC9,1
Sca419,LOX15,4
Sca419,CATB,3
Sca419,5HT4R,1
Sca419,GCR,10
Sca419,F263,1
Sca419,QPCT,4
Sca419,HDAC1,15
Sca419,SEPR,27
Sca419,PPCE,19
Sca419,PAFA,44
Sca419,GRM5,23
Sca419,NPFF2,1
Sca419,NPFF1,1
Sca419,P2Y12,1
Sca419,PDE10,36
Sca419,PDE3A,1
Sca419,PDE4B,5
Sca419,CNR2,27
Sca419,BACE1,6
Sca419,PRGR,1
Sca419,HRH3,3
Sca419,P2RX7,2
Sca419,LOX5,2
Sca419,5HT2B,6
Sca419,OX1R,1
Sca419,LOX12,5
Sca419,HDAC2,1
Sca419,HDAC6,3
Sca419,HDAC3,1
Sca419,HDA10,1
Sca419,ACHA4,1
Sca419,CNR1,1
Sca419,5HT3A,20
Sca419,KPCA,4
Sca419,TF65,4
Sca419,THRB,3
Sca419,TRPV1,13
Sca419,IKBA,1
Sca419,ACHA7,1
Sca419,VGFR2,1
Sca419,MCHR1,57
Sca419,PD2R2,2
Sca419,CCR4,1
Sca419,THB,1
Sca419,THA,1
Sca419,5HT2C,9
Sca419,5HT2A,5
Sca419,MCHR2,4
Sca419,ACES,1
Sca419,GRM1,18
Sca419,NOS2,1
Sca419,AOFB,2
Sca419,GSK3B,1
Sca419,CAH2,2
Sca419,CAH12,2
Sca419,CAH9,2
Sca419,CAH14,2
Sca419,SC6A4,21
Sca419,CATL1,3
Sca419,TERT,1
Sca419,AOXA,1
Sca419,CP19A,1
Sca419,HRH1,1
Sca419,CRFR1,31
Sca419,CATH,1
Sca419,TNKS2,10
Sca419,PARP1,3
Sca419,TNKS1,3
Sca419,CP1A2,1
Sca419,ADRB2,1
Sca419,CCR8,4
Sca419,CCR1,2
Sca419,CCR5,1
Sca419,CD38,9
Sca419,KCNH2,3
Sca419,PDE5A,3
Sca419,AA1R,1
Sca419,AA2AR,2
Sca419,CP3A4,1
Sca419,ADA17,1
Sca419,MMP2,1
Sca419,EGLN3,1
Sca419,FAS,3
Sca419,NMDZ1,3
Sca419,BKRB2,9
Sca419,PDE4A,4
Sca419,PDE4C,2
Sca419,PDE4D,2
Sca419,HNMT,1
Sca419,CP2D6,2
Sca419,M3K8,2
Sca419,CP2J2,1
Sca419,EGFR,2
Sca419,ADRB1,1
Sca419,DRD2,1
Sca419,HRH4,1
Sca419,5HT1B,1
Sca419,DYR1B,1
Sca419,DYR1A,1
Sca419,LPAR3,1
Sca419,LPAR1,1
Sca419,LRRK2,1
Sca419,PYRD,6
Sca419,ESR1,11
Sca419,ESR2,19
Sca419,ERR2,5
Sca419,ERR1,6
Sca419,TSPO,3
Sca419,DPP4,11
Sca419,CSF1R,1
Sca108614,TF65,5
Sca108614,IKBA,2
Sca206853,CD2,1
Sca206849,CD2,1
Sca124090,CD22,1
Sca124101,CD22,3
Sca124093,CD22,1
Sca124096,CD22,1
Sca143031,CD22,1
Sca124094,CD22,1
Sca4612,LANC2,1
Sca4612,CAH2,1
Sca4612,CAH6,1
Sca4612,NR1I2,1
Sca105872,APEL,1
Sca239224,APEL,2
Sca239231,APEL,1
Sca239235,APEL,2
