"","GeneName","GeneID","PathwayNum","PathwayName","pvalue"
"","ACER1","125981","hsa00600","Sphingolipid metabolism","0.00584577114427864"
"","ACER1","125981","hsa04071","Sphingolipid signaling pathway","0.0148009950248759"
"","ACER2","340485","hsa00600","Sphingolipid metabolism","0.00584577114427864"
"","ACER2","340485","hsa04071","Sphingolipid signaling pathway","0.0148009950248759"
"","ATG7","10533","hsa04136","Autophagy - other","0.00398009950248757"
"","ATG7","10533","hsa04216","Ferroptosis","0.00509950248756219"
"","ATG7","10533","hsa04140","Autophagy - animal","0.0170398009950251"
"","BIRC5","332","hsa04215","Apoptosis - multiple species","0.00398009950248757"
"","BIRC5","332","hsa01524","Platinum drug resistance","0.00907960199004987"
"","BIRC5","332","hsa05210","Colorectal cancer","0.0106965174129352"
"","BIRC5","332","hsa04210","Apoptosis","0.0169154228855722"
"","BIRC5","332","hsa04390","Hippo signaling pathway","0.0195273631840797"
"","BIRC5","332","hsa05161","Hepatitis B","0.0201492537313435"
"","BMP4","652","hsa05217","Basal cell carcinoma","0.00783582089552237"
"","BMP4","652","hsa04350","TGF-beta signaling pathway","0.0116915422885571"
"","BMP4","652","hsa04919","Thyroid hormone signaling pathway","0.0150497512437812"
"","BMP4","652","hsa05418","Fluid shear stress and atherosclerosis","0.0172885572139305"
"","BMP4","652","hsa04550","Signaling pathways regulating pluripotency of stem cells","0.0177860696517413"
"","BMP4","652","hsa04390","Hippo signaling pathway","0.0195273631840797"
"","BMP4","652","hsa04060","Cytokine-cytokine receptor interaction","0.0365671641791047"
"","CALCA","796","hsa04270","Vascular smooth muscle contraction","0.0164179104477612"
"","CALCA","796","hsa04080","Neuroactive ligand-receptor interaction","0.0422885572139305"
"","CBS","875","hsa00260","Glycine, serine and threonine metabolism","0.00497512437810943"
"","CBS","875","hsa00270","Cysteine and methionine metabolism","0.00609452736318417"
"","CBS","875","hsa01230","Biosynthesis of amino acids","0.00932835820895528"
"","CD36","948","hsa04975","Fat digestion and absorption","0.0053482587064676"
"","CD36","948","hsa04979","Cholesterol metabolism","0.0062189054726367"
"","CD36","948","hsa05144","Malaria","0.0062189054726367"
"","CD36","948","hsa04920","Adipocytokine signaling pathway","0.00858208955223894"
"","CD36","948","hsa03320","PPAR signaling pathway","0.0095771144278608"
"","CD36","948","hsa04512","ECM-receptor interaction","0.0109452736318408"
"","CD36","948","hsa04640","Hematopoietic cell lineage","0.012313432835821"
"","CD36","948","hsa04931","Insulin resistance","0.0134328358208955"
"","CD36","948","hsa04152","AMPK signaling pathway","0.0149253731343284"
"","CD36","948","hsa04145","Phagosome","0.0189054726368162"
"","CDC42","998","hsa04370","VEGF signaling pathway","0.00733830845771155"
"","CDC42","998","hsa05211","Renal cell carcinoma","0.00858208955223894"
"","CDC42","998","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","0.00870646766169159"
"","CDC42","998","hsa04520","Adherens junction","0.00883084577114435"
"","CDC42","998","hsa05100","Bacterial invasion of epithelial cells","0.00907960199004987"
"","CDC42","998","hsa05212","Pancreatic cancer","0.00945273631840793"
"","CDC42","998","hsa04666","Fc gamma R-mediated phagocytosis","0.0115671641791045"
"","CDC42","998","hsa04912","GnRH signaling pathway","0.0115671641791045"
"","CDC42","998","hsa04933","AGE-RAGE signaling pathway in diabetic complications","0.0124378109452737"
"","CDC42","998","hsa04660","T cell receptor signaling pathway","0.0129353233830845"
"","CDC42","998","hsa04670","Leukocyte transendothelial migration","0.0140547263681592"
"","CDC42","998","hsa04722","Neurotrophin signaling pathway","0.0148009950248759"
"","CDC42","998","hsa05135","Yersinia infection","0.0149253731343284"
"","CDC42","998","hsa04932","Non-alcoholic fatty liver disease (NAFLD)","0.0185323383084578"
"","CDC42","998","hsa04530","Tight junction","0.0210199004975126"
"","CDC42","998","hsa04360","Axon guidance","0.0225124378109454"
"","CDC42","998","hsa04062","Chemokine signaling pathway","0.0235074626865672"
"","CDC42","998","hsa04510","Focal adhesion","0.025"
"","CDC42","998","hsa05130","Pathogenic Escherichia coli infection","0.0251243781094528"
"","CDC42","998","hsa05203","Viral carcinogenesis","0.0253731343283583"
